,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
CDCP1,1707.0846510513616,1.3545601178783868,0.18918270360485603,7.160063219667495,8.06398637674421e-13,5.036836012535101e-10,True
ICAM1,3659.904566295082,2.7513855473625473,0.3933083193526195,6.995492879202995,2.6432800957135825e-12,1.5822234106258887e-09,True
NFKB1,736.5242525204545,0.8178267791435263,0.11748941813329834,6.96085479132815,3.38214246905837e-12,1.8687637965574054e-09,True
HERC6,256.5759252110847,1.0892408127259028,0.15640138087872424,6.964393834671543,3.298207499498307e-12,1.8687637965574054e-09,True
STAT1,3429.698742916728,1.2303704135963038,0.17743252109214314,6.934300465456136,4.082361597667268e-12,2.1721187671143695e-09,True
HBEGF,309.71883861488936,1.396639094369819,0.2045754453605112,6.827012361667378,8.670122744174731e-12,4.448392262243364e-09,True
MAFF,542.7572497475884,1.1259335626160896,0.16555000677531062,6.80116893105441,1.0377364713718595e-11,5.140731775078666e-09,True
PLSCR1,2082.1458356817425,0.9079432367974074,0.1340393224963814,6.773708042443432,1.2552285622712057e-11,6.0108711751960475e-09,True
C15orf48,841.1730539218408,1.6884169881360878,0.24953474115568278,6.766260202152363,1.321537843546744e-11,6.124262148513718e-09,True
STC2,972.496574558755,2.079522375265435,0.30808043255073614,6.749933314648178,1.4791312240204234e-11,6.640374738836689e-09,True
PLAT,1204.7524421844587,1.332690005823802,0.19766332285902624,6.742222009362244,1.5598249242325963e-11,6.790437836825903e-09,True
CLDN1,2812.34913466434,0.9192053108810428,0.13680177208807598,6.719250027618344,1.8266224919804714e-11,7.718017270526897e-09,True
SLC11A2,691.8841636177602,0.5476725493565425,0.08198159192718793,6.680433210457278,2.3823694036323706e-11,9.778605386452182e-09,True
NKX3-1,117.95114288778376,1.0943036769190984,0.16557584349187093,6.609078074681975,3.867207396819289e-11,1.536204902408677e-08,True
IFNAR2,361.7108535640511,0.6252321886594859,0.09465046058907207,6.605696208642353,3.9565349707031216e-11,1.536204902408677e-08,True
GTPBP2,1017.9936907707826,0.782338509313022,0.11940981438254322,6.551710287453505,5.688181517052857e-11,2.1504319914205616e-08,True
CSF2,92.43356406240592,3.0728165024661838,0.4694126913856933,6.546087395709976,5.906402429555814e-11,2.175676341102534e-08,True
IFIH1,842.669937197582,1.696757557699984,0.2598279125860488,6.530312855198182,6.563244965598562e-11,2.3571894293947234e-08,True
ULBP1,94.41263953645516,2.1349569327745197,0.3275582242848229,6.5177937065567395,7.134902350745984e-11,2.5000001748979708e-08,True
SERPINE1,13574.309915458269,2.2804360479872363,0.3534405393597134,6.452106631905988,1.1030591755501517e-10,3.77298764665559e-08,True
GBP1,410.24905651599994,1.7938965421817894,0.28117358125902675,6.380032342118197,1.7705058859394466e-10,5.91513664125723e-08,True
IL1B,1385.4766552079134,1.979821321388123,0.3129263882515025,6.32679568012947,2.503044298345303e-10,8.172439634097415e-08,True
MPC2,880.5448809124288,-0.8326549893311793,0.13379440497868678,-6.223391699105951,4.865206952274771e-10,1.5194252842691165e-07,True
SGK2,108.78772347938352,-1.025270244436042,0.16466653474656195,-6.226342504954235,4.77449706556896e-10,1.5194252842691165e-07,True
SLFN5,1154.2527317510283,1.6475064831462578,0.2648852559648667,6.219698703671058,4.981104496124557e-10,1.5225222806664978e-07,True
RAB40B,164.1416675350426,-0.7611082827682694,0.12383949557670616,-6.145925249645732,7.949871865856702e-10,2.3793304005186957e-07,True
TNIP1,3628.014679093968,0.9049025117488485,0.14754309589731046,6.133140329240874,8.616108168490589e-10,2.5261022438476694e-07,True
